127.0.0.1 - - [03/Jan/2024:00:16:13 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:16:26 +0700] "GET /QLSACH/admin/book.htm HTTP/1.1" 500 11616
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:16:29 +0700] "GET /QLSACH/admin/book.htm HTTP/1.1" 500 11616
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:01 +0700] "GET /QLSACH/admin/book.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:02 +0700] "GET /QLSACH/account/login.htm HTTP/1.1" 200 3967
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:07 +0700] "POST /QLSACH/account/login.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:09 +0700] "GET /QLSACH/admin/book.htm HTTP/1.1" 200 56657
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:09 +0700] "GET /QLSACH/images/upload.png HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:12 +0700] "GET /QLSACH/admin/book.htm?page=2&order=id&dir=asc HTTP/1.1" 200 53568
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:12 +0700] "GET /QLSACH/images/upload.png HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:23 +0700] "GET /QLSACH/admin/book.htm?page=2&order=id&dir=asc HTTP/1.1" 200 53568
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:23 +0700] "GET /QLSACH/images/upload.png HTTP/1.1" 404 705
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:36 +0700] "POST /QLSACH/admin/book/save.htm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2024:00:17:36 +0700] "GET /QLSACH/admin/book.htm?page=2&order=id_book&dir=asc HTTP/1.1" 200 53569
